source_id,parallax,parallax_error,phot_g_mean_mag,bp_rp,distance_pc
115478377668969856,10.735061026340889,0.08474966,10.669933,1.1547899,93.1527075203648
116379908481946624,15.661050297413162,0.028197026,14.75509,2.566166,63.852677886180885
116399424813822080,10.926736013170352,0.02325742,10.388457,0.99274063,91.51863820949525
117709729140217216,65.13193983564408,0.032710668,12.137731,2.765005,15.353450281435352
118018971081702272,10.54002231349077,0.043321192,14.960318,2.7004309,94.87645948529384
119749529368792192,11.924701635857726,0.01657059,13.183594,2.0756664,83.85954051822878
120209232604201088,14.559091084992644,0.01997094,13.470971,2.400158,68.68560641335566
121116260976907136,19.94246386472247,0.06244542,16.220663,3.2222443,50.14425533291127
121784420449705472,11.716385224659732,0.021500975,14.046612,2.3359604,85.35055657740565
121805517328959488,12.49725957097062,0.033134375,15.209247,2.482541,80.01754259172624
123020924354556288,11.282166445323508,0.025334615,14.532655,2.4967985,88.63545887629614
124843738541698944,25.687633984155696,0.12622303,17.617891,4.2314224,38.92923733718749
125343573948444800,25.340388375264627,0.024480237,7.978365,0.8844762,39.46269430409064
125966962682213504,13.21806498164086,0.019466165,11.070067,1.3503447,75.65403872570933
126142781462387200,11.355558428604152,0.016738452,12.642027,1.9210634,88.06260002863831
126460540322730368,10.695228525144364,0.28313673,13.169316,2.224678,93.49963842745493
127269540362818304,10.430032534931748,0.030829063,15.130124,2.3728504,95.87697801045678
127572215297441536,10.307204489769088,0.23918097,12.882958,1.8241777,97.01951688186628
130081988031051776,16.10026927607615,0.030859265,6.6558747,0.5035548,62.11076242593833
130639268624205568,10.669871462546475,0.02053356,13.612082,2.1326904,93.72184130898047
130728019828325248,14.362786185405573,0.08712379,14.417943,2.5721502,69.6243742050639
131393980277278720,10.877267001319014,0.030052455,14.578231,2.4802294,91.9348582579371
132992292227000832,11.37277050191619,0.0674353,16.665142,2.9544373,87.92932204439637
133713881095510144,12.659746795795352,0.03162943,14.628708,2.7079859,78.99052138484534
134204744315541760,17.582638304735653,0.017602213,13.711895,2.5405264,56.87428602399579
135861364741549440,11.032796401785193,0.02726253,10.999592,1.2593498,90.63885198118875
136048041199835136,10.716657501499922,0.067112684,16.469315,2.8999996,93.31267700400412
136771519850607872,10.903811658852744,0.09187851,17.107904,3.0316877,91.71104851101363
136894321555631872,18.400862350436338,0.034550596,13.773382,2.7285013,54.34527909374243
137148755418573696,10.200984558167296,0.023937238,14.536869,2.4011726,98.02975333389384
137176964763480320,26.98172059040613,0.03851542,14.75725,3.014614,37.062128660377915
137182114430919808,20.26235576772482,0.06863709,14.642886,2.3506956,49.35260299756774
137928412242147840,19.56658522341084,0.01949528,11.291772,1.7448006,51.107538110611635
138235072907177728,10.370444444303153,0.025136676,13.977076,2.3090343,96.42788265929478
138531352634078848,10.850116513632965,0.26698416,18.57748,3.5093727,92.16490889692466
138972467251590656,25.80354196296084,0.022890715,7.221212,0.8038411,38.754369513899654
139069052476581504,10.057507498524247,0.052541252,15.428537,2.7918034,99.42821321751254
139509613042453504,16.58510701867137,0.03568761,14.234396,2.7231636,60.29505862544081
139660825953838848,14.030699917791654,0.018906245,12.156842,1.9214363,71.27228191459987
141481037390861440,10.571042621048003,0.023355613,13.78127,1.4522762,94.59804825769031
141545595042005376,13.253293758246073,0.22814779,11.572197,1.7862558,75.45294160387938
142045670970871168,15.072325803652582,0.06746883,14.039253,2.3614435,66.34676114536106
142993518713707392,10.154694328392694,0.020201283,11.501813,1.2569962,98.47662250196773
143755171034303616,10.64798410439396,0.017011505,11.133133,1.2327642,93.9144903106442
143872711402992384,20.826148387796465,0.01871742,9.558518,1.0811844,48.01655982562632
144121239687649536,19.524138151619663,0.019778851,9.142133,0.98690224,51.21865007480717
144534724778235392,23.211493092645092,0.015837342,10.67892,1.6734028,43.0821057485899
145084510654970624,13.645954630927504,0.019023575,12.031202,1.815547,73.2817913474208
145293181643038336,21.022085450482432,0.05181636,7.239102,0.68395376,47.56901984608055
145333721838128896,48.41260831898592,0.027863296,11.831024,2.6249504,20.655776144327906
145784835140102016,20.7536113300791,0.020000981,12.954094,2.4809856,48.18438507377543
145908358399456512,16.318461005418914,0.030226057,11.463791,1.6910105,61.2802886049075
145919658456448128,19.5928024484897,0.056673583,11.911106,2.4070215,51.0391508631316
146057617101593856,19.000964945072052,0.17215304,14.91631,3.2288055,52.62890610507402
148105453212148480,10.783681052583052,0.016056024,12.310014,1.587923,92.73271298769232
148364392496146304,20.68473858107232,0.028515205,12.60058,2.423769,48.34482176705174
148792171240741120,19.969745919206346,0.03354526,15.223174,3.0895548,50.07574978899596
149242249454230144,29.724034135645123,0.1246916,17.439268,4.7283516,33.64280889453016
149737064046059648,20.131651151097504,0.070192225,16.719837,3.5833912,49.67302445758323
149892748019852416,10.22615695085277,0.2727774,14.232215,2.2868357,97.78844631527085
150091793983880576,11.883727451439837,0.02768993,15.069055,2.4783955,84.1486818076461
151148699534856832,13.933185872140806,0.01958213,12.70171,1.9487848,71.77109450606591
151434709997388672,10.616703460752944,0.019884078,13.837948,2.2990332,94.19119632536852
70928159376652032,10.393244062324435,0.019997075,13.826036,2.2315493,96.21634919793766
71124108666295808,10.237253927441454,0.12620655,17.729647,3.3662949,97.68244561360851
71444689321661568,10.241308523302978,0.10261971,17.14711,3.1951733,97.64377254377303
71543885886441216,15.343868824299538,0.040876247,15.335528,2.6501684,65.17261138314319
72944831202565888,10.848167111551227,0.025125261,9.172351,0.8013544,92.18147081594925
73430407320288256,11.189804550561059,0.04572972,15.954329,2.4701195,89.3670658393993
74623136918290944,15.941151140489524,0.018589232,13.024475,2.3940477,62.73072698370338
75265629665983744,10.792677522134795,0.051862888,16.161331,2.5931416,92.655413631056
75349600571311744,34.15245035858935,0.0994478,5.8675833,0.7287941,29.28047591022996
75463537463613056,14.355608349906536,0.332169,9.051022,0.96910477,69.65918654408753
76504744910949504,16.205197178353924,0.38437077,14.667704,2.7808104,61.70859811170635
77362707578026624,13.614835123754611,0.07212109,13.308146,2.1794062,73.44929196059383
77396891222249984,10.702950757277991,0.2380374,18.625801,3.3337288,93.43217797391074
77828075874248576,10.625913290054326,0.04316328,15.927898,2.7471657,94.10955771076948
78983490796368128,17.403420053329324,0.03242786,14.875717,2.5624838,57.45997033546847
80262497697346304,12.087718477830926,0.08355609,16.282112,3.0402908,82.72859777748931
80803457418248960,11.18560565023275,0.08774232,14.390758,2.7126513,89.40061282950664
80805205469438976,11.037769695188937,0.16071685,18.20223,3.4946918,90.59801278838721
81124476158249472,14.015405621146247,0.01654269,12.241402,1.9269667,71.3500577172889
81603970602851712,18.311510808341485,0.100968406,16.360554,3.6697254,54.61045844149942
82444272364269184,12.182310746669675,0.055379193,15.7414665,2.4623623,82.08623312891389
82596000673308800,10.457815300975692,0.25564608,18.638655,3.4483337,95.62226633575199
82836935454335616,18.29266383223726,0.023538861,13.699683,2.3425417,54.666723729853636
